Item Code,Item Description,Strength,Dosage Form,Category
AA046200,Nifedipine 10mg tablet,10mg,Tablet,Tablets and Capsules
AA046500,Nifedipine 20mg (slow release) tablet,20mg,Tablet,Tablets and Capsules
AA046800,Nifedipine 5mg (Slow Release) tablet,5mg,NA,Tablets and Capsules
AA047100,Nitrofurantoin 50mg tablet,50mg,Tablet,Tablets and Capsules
AA047400,Norethisterone 5mg tablet,5mg,Tablet,Tablets and Capsules
AA048000,Olanzepine 10mg tablet,10mg,Tablet,Tablets and Capsules
AA048300,Olanzepine 15mg tablet,15mg,Tablet,Tablets and Capsules
AA048600,Omeprazole 20mg capsule,20mg,Capsule,Tablets and Capsules
AA048900,Ondancetrone 8mg tablet,8mg,Tablet,Tablets and Capsules
AA049200,Ondansetron 4mg tablet,4mg,Tablet,Tablets and Capsules
AA049500,Paracetamol 500mg tablet,500mg,Tablet,Tablets and Capsules
AA050100,Phenobarbitone 30mg tablet,30mg,Tablet,Tablets and Capsules
AA050400,"Phenytoin sodium 100mg, coated tablets",100mg,Tablet,Tablets and Capsules
AA050700,"Phenytoin sodium 25mg, coated tablets",25mg,Tablet,Tablets and Capsules
AA051000,Potassium chloride 600mg (slow release) tablet,600mg,Tablet,Tablets and Capsules
AA051300,Praziquantel 600mg tablet,600mg,Tablet,Tablets and Capsules
AA051600,Prazosin 1mg  tablet,1mg,Tablet,Tablets and Capsules
AA051900,Prednisolone 2.5mg tablet,2.5mg,Tablet,Tablets and Capsules
AA052200,Prednisolone 5mg tablet,5mg,Tablet,Tablets and Capsules
AA052500,Prednisolone 5mg tablet,5mg,Tablet,Tablets and Capsules
AA052800,Prednisolone 5mg tablet,5mg,Tablet,Tablets and Capsules
AA053100,Procarbazine Hydrochloride 50mg capsule,50mg,Capsule,Tablets and Capsules
AA053700,Proguanil hydrochloride 100mg tablet,100mg,Tablet,Tablets and Capsules
AA054000,"Promethazine hydrochloride 25mg, coated tablets",25mg,Tablet,Tablets and Capsules
AA054300,"Promethazine hydrochloride 25mg, coated tablets",25mg,Tablet,Tablets and Capsules
AA054600,Propantheline bromide 15mg tablet,15mg,Tablet,Tablets and Capsules
AA054900,Propranolol hydrochloride 40mg tablet,40mg,Tablet,Tablets and Capsules
AA054950,Pyridoxine (Vitamin B6) 20mg tablet,20mg,NA,Tablets and Capsules
AA055200,Pyridoxine (Vitamin B6) 25mg tablet,25mg,Tablet,Tablets and Capsules
AA055800,"Quinine sulphate 300mg, sugar coated tablets",300mg,Tablet,Tablets and Capsules
AA056100,Ranitidine 150mg tablet,150mg,Tablet,Tablets and Capsules
AA056400,Risperidone 1mg tablet,1mg,Tablet,Tablets and Capsules
AA056401,Resiperidon 4mg,4mg,NA,Tablets and Capsules
AA056700,Salbutamol 4mg tablet,4mg,Tablet,Tablets and Capsules
AA056750,Sildenafil Citrate 50mg,50mg,NA,Tablets and Capsules
AA057000,Simvastatin 10mg tablet,10mg,Tablet,Tablets and Capsules
AA057300,Sodium valproate 200mg tablet,200mg,Tablet,Tablets and Capsules
AA057600,Sorafanib 200mg tablet,200mg,Tablet,Tablets and Capsules
AA057900,Spironolactone 25mg tablet,25mg,Tablet,Tablets and Capsules
AA058200,Sulphadoxine 500mg / pyrimethamine 25mg (SP) tablet,525mg,Tablet,Tablets and Capsules
AA059100,Tamoxifene 20mg tablet,20mg,Tablet,Tablets and Capsules
AA062400,Tramadol 50mg capsule,50mg,Capsule,Tablets and Capsules
AA062700,Tramadol hydrochloride 50mg tablet,50mg,Tablet,Tablets and Capsules
AA063000,Tranexamic acid 500mg capsule,500mg,Capsule,Tablets and Capsules
AA063300,Tranexamic acid 500mg tablet,500mg,Tablet,Tablets and Capsules
AA063600,Trifluoperazine 5mg tablet,5mg,Tablet,Tablets and Capsules
AA064200,"Vitamin A 100,000 IU capsule","100,000IU",Capsule,Tablets and Capsules
AA064250,"Vitamin A 200,000 IU capsule","200,000IU",Capsule,Tablets and Capsules
AA064500,Vitamin B complex strong tablet,NA,Tablet,Tablets and Capsules
AA064800,"Vitamin, multiple tablet(Without Cyanocobalamine)",NA,Tablet,Tablets and Capsules
AA065100,Warfarin sodium 1mg tablet,1mg,Tablet,Tablets and Capsules
AA065400,Zinc sulphate 20mg tablet,20mg,Tablet,Tablets and Capsules
BB000300,"5 - Fluorouracil 25mg /ml, 10ml",25mg/ml,Injectable,Injectables
BB000600,"5 - Fluorouracil, 25mg/ml, 20ml",25mg/ml,Injectable,Injectables
BB000601,5 - Fluorouracil 25mg/ml 10ml,25mg/ml,NA,Injectables
BB000900,"5-Fluorouracil (5-FU) 250mg/5ml,",250mg/5ml,Injectable,Injectables
BB001200,5-Fluorouracil (5-FU) 250mg/5ml,250mg/5ml,NA,Injectables
BB001500,"5-Fluorouracil (5-FU) 25mg/ml, 10ml",25mg/ml,Injectable,Injectables
BB002100,"Actinomycin D 500 mcg PFR, (with mannitol)",500mcg,Injectable,Injectables
BB002400,"Actinomycin D, 10mg",10mg,Injectable,Injectables
BB002700,"Actinomycin D, 5mg",5mg,Injectable,Injectables
BB003000,Acyclovir 25mg/ml 20ml,25mg/ml,NA,Injectables
BB003300,"Adrenaline 1/1000, 1ml",1/1000,Injectable,Injectables
BB004200,"Amikacin 50mg/ml,2ml",50mg/ml,Injectable,Injectables
BB004500,"Aminophylline 25mg/ml, 10ml",25mg/ml,Injectable,Injectables
BB004800,"Amiodalone 50mg/ml,3ml",50mg/ml,Injectable,Injectables
BB005100,"Amphotericin B 50mg, PFR",50mg,Injectable,Injectables
BB005400,"Ampicillin injection 500mg, PFR",500mg,Injectable,Injectables
BB006000,"Artesunate 60mg PFR, with diluent",60mg,Injectable,Injectables
BB006300,Atracurium 10mg/ml Injection,10mg/ml,NA,Injectables
BB006600,"Atropine sulphate 600 micrograms/ml, 1ml",600mcg,Injectable,Injectables
BB006900,"Benzathine benzylpenicillin 1.44g (2.4MU), PFR",1.44g,Injectable,Injectables
BB007200,"Benzylpenicillin 3g (5MU), PFR",3g,Injectable,Injectables
BB007500,"Bevacizumab 25mg/ml, 4ml",25mg/ml,Injectable,Injectables
BB007800,Bleomycin 10IU,10IU,Injectable,Injectables
BB008100,Bleomycin 15IU,15IU,Injectable,Injectables
BB008400,"Bleomycin 15mg (15,000 IU) PFR",15mg,Injectable,Injectables
BB008700,Bleomycin 20IU,20IU,NA,Injectables
BB009000,Bleomycin 30IU,30IU,Injectable,Injectables
BB009300,Bortezomide 2mg/vial,2mg/vial,Injectable,Injectables
BB009900,"Bupivacaine spinal hyperbaric 0.5%, 4ml ampoule",0.50%,Injectable,Injectables
BB010000,"Bupivacaine spinal isobaric 0.5%, 4ml ampoule",0.50%,NA,Injectables
BB010200,"Bupivacaine spinal isobaric 0.5%, 10ml ampoule",0.50%,Injectable,Injectables
BB010500,Calcium Chloride Vials,1.44g,Injectable,Injectables
BB010800,"Calcium gluconate 10%, 10ml",10.00%,Injectable,Injectables
BB011400,"Carboplatin 10mg/ml, 15ml (150mg) injection",10mg/ml,Injectable,Injectables
BB011700,"Carboplatin 10mg/ml, 45ml ( 450mg) injection",10mg/ml,Injectable,Injectables
BB012000,Carmustine 100mg Vial,100mg,Injectable,Injectables
BB012600,"Cefotaxime 500mg, PFR",500mg,Injectable,Injectables
BB012900,Ceftazidime 1g PFR,1g,Injectable,Injectables
BB013200,Ceftazidime 500mg PFR,500mg,Injectable,Injectables
BB013500,"Ceftriaxone 1g, PFR",1g,Injectable,Injectables
BB014400,"Chloramphenicol Sodium 1g, PFR",1g,Injectable,Injectables
BB014700,"Chlorpromazine hydrochloride 25mg/ml, 2ml",25mg/ml,Injectable,Injectables
BB015000,Cisplatin 10mg PFR,10mg,Injectable,Injectables
BB015300,Cisplatin 20mg PFR,20mg,Injectable,Injectables
BB015600,Cisplatin 50mg PFR,50mg,Injectable,Injectables
BB015900,"Clopixol Acuphase 50mg/ml, 1ml",50mg/ml,Injectable,Injectables
BB016200,"Clopixol Depot 200mg/ml, 1ml",200mg/ml,Injectable,Injectables
BB016500,Cloxacillin 500mg PFR,500mg,Injectable,Injectables
BB016800,Cyclophosphamide 1g PFR,1g,Injectable,Injectables
BB017100,Cyclophosphamide 200mg PFR,200mg,Injectable,Injectables
BB017400,Cyclophosphamide 500mg PFR,500mg,Injectable,Injectables
BB017700,Cytarabine 500mg vial,500mg,NA,Injectables
BB018000,Cytarabine 100mg PFR,100mg,NA,Injectables
BB018300,Cytarabine 1g PFR,1g,Injectable,Injectables
BB018600,Dacarbazine 200mg in 20ml vial,200mg/20ml,Injectable,Injectables
BB018900,"Dacarbazine 200mg, PFR",200mg,Injectable,Injectables
BB019200,"Dacarbazine 500mg, PFR",500mg,Injectable,Injectables
BB019500,"Dactinomycin 0.5mg, PFR",0.5mg,Injectable,Injectables
BB019800,Dactinomycin for Injection 0.5mg (Actinomycin D),0.5mg,NA,Injectables
BB020700,Daunorubicin 20mg vial,20mg,NA,Injectables
BB021000,Daunorubicin Hydrochloride for Injection 20mg,20mg,NA,Injectables
BB021300,"Dexamethasone sodium phosphate 4mg/ml, 1ml",4mg/ml,Injectable,Injectables
BB021301,"Dexamethasone Injection 5mg/2ml,2ml",5mg/2ml,NA,Injectables
BB021600,"Dextrose (glucose) 5%, 1000ml",5.00%,Injectable,Injectables
BB021900,"Dextrose (glucose) 5%, 100ml",5.00%,Injectable,Injectables
BB022200,"Dextrose (glucose) 5%, 500ml",5.00%,Injectable,Injectables
BB022500,Dextrose 50% 500ml,50.00%,Injectable,Injectables
BB022800,"Dextrose 50%, 50ml",50.00%,Injectable,Injectables
BB023400,Dianeal + Dextrose 2.5% intraperitoneal dialysis solution. with minicap,2.50%,Injectable,Injectables
BB024000,"Diazepam 5mg/ml, 2ml",5mg/ml,Injectable,Injectables
BB024300,"Diclofenac sodium 75mg/ml, 3ml",75mg/ml,Injectable,Injectables
BB024600,"Digoxin 250 micrograms/ml, 2ml",250mcg,Injectable,Injectables
BB024900,"Dobutamine 250mg/20ml, 20ml",250m/20ml,Injectable,Injectables
BB025200,Docetaxel concentrate 80mg/2ml PFR with solvent,80/20ml,Injectable,Injectables
BB025500,"Docetaxel concentrate, 20mg/0.5ml PFR with solvent",20mg/0.5ml,Injectable,Injectables
BB025800,Docetaxel Concentrate 120mg/3ml PFR with solvent,120mg/3ml,NA,Injectables
BB026100,"Dopamine 40mg/ml, 5ml",40mg/ml,Injectable,Injectables
BB026400,Doxorubicin 50mg vial,50mg/vial,Injectable,Injectables
BB026700,"Doxorubicin Hydrochloride 10mg, PFR",10mg,Injectable,Injectables
BB027000,Doxorubicin Hydrochloride 10mg/5ml,10mg/5ml,NA,Injectables
BB027300,"Doxorubicin Hydrochloride 20mg, PFR",20mg,Injectable,Injectables
BB027600,Doxorubicin Hydrochloride 50mg PFR,50mg,Injectable,Injectables
BB027900,Doxorubicin Hydrochloride 50mg/25ml,50m/25ml,Injectable,Injectables
BB028200,Enoxaparin 100mg/ml3ml,100mg/ml,NA,Injectables
BB028500,"Ephedrine sulphate 30mg/ml, 1ml",30mg/ml,Injectable,Injectables
BB029100,Epirubicin Hydrochloride for Injection 50mg,50mg,NA,Injectables
BB029400,Erythropoietin (4000IU),4000IU,NA,Injectables
BB030600,"Etomidate 2mg/ml, 10ml",2mg/ml,Injectable,Injectables
BB030900,"Etoposide 100mg/5ml, 5ml",100mg/5ml,Injectable,Injectables
BB031200,"Etoposide 10mg/ml, 10ml",10mg/ml,Injectable,Injectables
BB031500,"Etoposide 20mg/ml, 10ml",20mg/ml,Injectable,Injectables
BB031800,"Etoposide 20mg/ml, 1ml",20mg/ml,Injectable,Injectables
BB032100,"Etoposide 500mg/25ml,Injection",500mg/25ml,Injectable,Injectables
BB032700,Filgrastim 300mcg PFR,300mcg,Injectable,Injectables
BB033000,"Flucloxacillin 250mg, PFR",250mg,Injectable,Injectables
BB033300,"Fluconazole 2mg/ml, 25ml",2mg/ml,Injectable,Injectables
BB033600,Fludarabine 50mg vial,50mg,Injectable,Injectables
BB033900,Fludarabine Phosphate for 50mg PFR,50mg,NA,Injectables
BB033950,Flumezanic 0.1mg/ml,0.1mg/ml,Injectable,Injectables
BB034200,"Fluphenazine decanoate 25mg/ml, 2ml",25mg/ml,Injectable,Injectables
BB034500,"Furosemide (Frusemide) 10mg/ml, 2ml",10mg/ml,Injectable,Injectables
BB034800,"Furosemide (Frusemide) 20mg/ml, 2ml",20mg/ml,Injectable,Injectables
BB035100,Ganciclovir Injection ? 500mg per Vial PFR,500mg/vial,Injectable,Injectables
BB035700,Gelatin 500ml pack intravenous infusion,500ml,Injectable,Injectables
BB036000,Gemcitabine 1g PFR,1g,Injectable,Injectables
BB036300,"Gemcitabine 200mg, PFR",200mg,Injectable,Injectables
BB036600,"Gentamycin Sulphate 10mg/ml, 2ml",10mg/ml,Injectable,Injectables
BB036900,"Gentamycin Sulphate 40mg/ml, 2ml",40mg/ml,Injectable,Injectables
BB037800,"Haloperidol 5mg/ml, 2ml",5mg/ml,Injectable,Injectables
BB038100,"Haloperidol decanoate oily 50mg/ml, 1ml",50mg/ml,Injectable,Injectables
BB038400,"Heparin sodium 5,000 IU/ml, 5ml",5000IU/ml,Injectable,Injectables
BB039000,Human Plasma Albumin 20% (Albusol)50mls,20.00%,NA,Injectables
BB039600,"Hydralazine hydrochloride 20mg/ml, 1ml",20mg/0.5ml,Injectable,Injectables
BB039900,Hydrocortisone (Intrathecal Use) 100mg 2ml vial (plain or preservative free),100mg/2mls,Injectable,Injectables
BB040200,Hydrocortisone 100mg,100mg,Injectable,Injectables
BB040500,"Hydrocortisone acetate 25mg/ml, 5ml",25mg/ml,Injectable,Injectables
BB040800,"Hydrocortisone sodium succinate iv 50mg/ml, 2ml",50mg/ml,Injectable,Injectables
BB040820,"Hydroxyethyl starch, 500ml",500mls,NA,Injectables
BB041100,Ifosfamide 1g10ml,1g/10ml,NA,Injectables
BB041400,Ifosfamide 1gm with Mesna 600mg,1.6g,Injectable,Injectables
BB041700,Ifosfamide 2g With Mesna 1200mg.,4.2g,Injectable,Injectables
BB042600,"Insulin Biphasic(Intermediate and short acting Insulin 30/70 % 100IU/ml),10ml",30/70,Injectable,Injectables
BB042900,"Insulin soluble 100 IU/ml, 10ml",100IU/ml,Injectable,Injectables
BB043200,"Insulin zinc suspension (lente) 100 IU/ml, 10ml",100IU/ml,Injectable,Injectables
BB043500,Irinotecan Hydrochloride 100mg/5ml,100mg/5ml,Injectable,Injectables
BB043800,"Irinotecan Hydrochloride 40mg/2ml, vial",40mg/2ml,Injectable,Injectables
